,text,likey,retweet
24,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
25,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
26,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
27,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
28,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
29,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
30,1557300312133681152,이거 왜 나 아는 밈이지? 하면서 음성지원됨 https://t.co/hQ6bebTl7s,2022-08-10 09:38:22+00:00
31,1557300311726821376,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 09:38:22+00:00
32,1557300309378371585,"RT @Honeyjar_113: 220806 메이사의 노래 전주 밤공 커튼콜(2) #제이어스 #이승준 💜

승준아 오늘 공연도 화이팅 하세용 💜💜💜 
어제 승준이 덕분에 말로 다 표현하지 못할 만큼 진짜 엄청 많이 행복했어 ㅠㅡㅠ💕 https://t…",2022-08-10 09:38:21+00:00
33,1557300307990040576,RT @Navyeoooooooooo: 뭔소리야 2찍들 탓 맞는데? 비 억수로 내린건 자연재해여도 님들 덕분에 멀쩡한 청와대 버려서 무정부상태되고 상황실 없어서 뭐 제대로 대처하나 못하고 사람죽고 개판된건 다 순전히 느그들 탓인데요?ㅋㅋㅋ,2022-08-10 09:38:21+00:00
34,1557300305238577164,@zoomim98 아이코~~ 다행이다빨리입장흐앵,2022-08-10 09:38:20+00:00
35,1557300301480071169,@mindlere_see 옴뫄 감사링 들레,2022-08-10 09:38:19+00:00
36,1557300300335050752,"@nownet1117 @HannaRaptor 돈을 쓸데는 많아지고 인플레는 잡아야 되고
시민단체 지원금 절단이 필요하구만여...",2022-08-10 09:38:19+00:00
37,1557300298170847232,RT @0cha_jj: 트위터에서 보고 '진짜 게으른 사람이 쓴 게으름 탈출법' 이 책을 읽었는데 저자분 얘기에 너무 공감이 많이 된다.현실에 직면하기 무서워서 중요한 일들을 다 회피하고 빈시간을 다 스마트폰으로 채웠다는거 진짜.. 너무 내얘기,2022-08-10 09:38:18+00:00
38,1557300296300212224,"RT @ATEEZofficial: [📷] TODAY ATEEZ 
⠀
짱티니 덕분에 더쇼  초이스 2관왕 달성❣
오늘도 내일도 앞으로도 사랑해요🥰
⠀
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co/zMvaC0X3LM",2022-08-10 09:38:18+00:00
39,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
40,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
41,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
42,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
43,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
44,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
45,1557300312133681152,이거 왜 나 아는 밈이지? 하면서 음성지원됨 https://t.co/hQ6bebTl7s,2022-08-10 09:38:22+00:00
46,1557300311726821376,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 09:38:22+00:00
47,1557300309378371585,"RT @Honeyjar_113: 220806 메이사의 노래 전주 밤공 커튼콜(2) #제이어스 #이승준 💜

승준아 오늘 공연도 화이팅 하세용 💜💜💜 
어제 승준이 덕분에 말로 다 표현하지 못할 만큼 진짜 엄청 많이 행복했어 ㅠㅡㅠ💕 https://t…",2022-08-10 09:38:21+00:00
48,1557300307990040576,RT @Navyeoooooooooo: 뭔소리야 2찍들 탓 맞는데? 비 억수로 내린건 자연재해여도 님들 덕분에 멀쩡한 청와대 버려서 무정부상태되고 상황실 없어서 뭐 제대로 대처하나 못하고 사람죽고 개판된건 다 순전히 느그들 탓인데요?ㅋㅋㅋ,2022-08-10 09:38:21+00:00
49,1557300305238577164,@zoomim98 아이코~~ 다행이다빨리입장흐앵,2022-08-10 09:38:20+00:00
50,1557300301480071169,@mindlere_see 옴뫄 감사링 들레,2022-08-10 09:38:19+00:00
51,1557300300335050752,"@nownet1117 @HannaRaptor 돈을 쓸데는 많아지고 인플레는 잡아야 되고
시민단체 지원금 절단이 필요하구만여...",2022-08-10 09:38:19+00:00
52,1557300298170847232,RT @0cha_jj: 트위터에서 보고 '진짜 게으른 사람이 쓴 게으름 탈출법' 이 책을 읽었는데 저자분 얘기에 너무 공감이 많이 된다.현실에 직면하기 무서워서 중요한 일들을 다 회피하고 빈시간을 다 스마트폰으로 채웠다는거 진짜.. 너무 내얘기,2022-08-10 09:38:18+00:00
53,1557300296300212224,"RT @ATEEZofficial: [📷] TODAY ATEEZ 
⠀
짱티니 덕분에 더쇼  초이스 2관왕 달성❣
오늘도 내일도 앞으로도 사랑해요🥰
⠀
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co/zMvaC0X3LM",2022-08-10 09:38:18+00:00
54,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
55,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
56,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
57,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
58,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
59,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
60,1557300312133681152,이거 왜 나 아는 밈이지? 하면서 음성지원됨 https://t.co/hQ6bebTl7s,2022-08-10 09:38:22+00:00
61,1557300311726821376,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 09:38:22+00:00
62,1557300309378371585,"RT @Honeyjar_113: 220806 메이사의 노래 전주 밤공 커튼콜(2) #제이어스 #이승준 💜

승준아 오늘 공연도 화이팅 하세용 💜💜💜 
어제 승준이 덕분에 말로 다 표현하지 못할 만큼 진짜 엄청 많이 행복했어 ㅠㅡㅠ💕 https://t…",2022-08-10 09:38:21+00:00
63,1557300307990040576,RT @Navyeoooooooooo: 뭔소리야 2찍들 탓 맞는데? 비 억수로 내린건 자연재해여도 님들 덕분에 멀쩡한 청와대 버려서 무정부상태되고 상황실 없어서 뭐 제대로 대처하나 못하고 사람죽고 개판된건 다 순전히 느그들 탓인데요?ㅋㅋㅋ,2022-08-10 09:38:21+00:00
64,1557300305238577164,@zoomim98 아이코~~ 다행이다빨리입장흐앵,2022-08-10 09:38:20+00:00
65,1557300301480071169,@mindlere_see 옴뫄 감사링 들레,2022-08-10 09:38:19+00:00
66,1557300300335050752,"@nownet1117 @HannaRaptor 돈을 쓸데는 많아지고 인플레는 잡아야 되고
시민단체 지원금 절단이 필요하구만여...",2022-08-10 09:38:19+00:00
67,1557300298170847232,RT @0cha_jj: 트위터에서 보고 '진짜 게으른 사람이 쓴 게으름 탈출법' 이 책을 읽었는데 저자분 얘기에 너무 공감이 많이 된다.현실에 직면하기 무서워서 중요한 일들을 다 회피하고 빈시간을 다 스마트폰으로 채웠다는거 진짜.. 너무 내얘기,2022-08-10 09:38:18+00:00
68,1557300296300212224,"RT @ATEEZofficial: [📷] TODAY ATEEZ 
⠀
짱티니 덕분에 더쇼  초이스 2관왕 달성❣
오늘도 내일도 앞으로도 사랑해요🥰
⠀
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co/zMvaC0X3LM",2022-08-10 09:38:18+00:00
69,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
70,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
71,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
72,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
73,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
74,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
75,1557300312133681152,이거 왜 나 아는 밈이지? 하면서 음성지원됨 https://t.co/hQ6bebTl7s,2022-08-10 09:38:22+00:00
76,1557300311726821376,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 09:38:22+00:00
77,1557300309378371585,"RT @Honeyjar_113: 220806 메이사의 노래 전주 밤공 커튼콜(2) #제이어스 #이승준 💜

승준아 오늘 공연도 화이팅 하세용 💜💜💜 
어제 승준이 덕분에 말로 다 표현하지 못할 만큼 진짜 엄청 많이 행복했어 ㅠㅡㅠ💕 https://t…",2022-08-10 09:38:21+00:00
78,1557300307990040576,RT @Navyeoooooooooo: 뭔소리야 2찍들 탓 맞는데? 비 억수로 내린건 자연재해여도 님들 덕분에 멀쩡한 청와대 버려서 무정부상태되고 상황실 없어서 뭐 제대로 대처하나 못하고 사람죽고 개판된건 다 순전히 느그들 탓인데요?ㅋㅋㅋ,2022-08-10 09:38:21+00:00
79,1557300305238577164,@zoomim98 아이코~~ 다행이다빨리입장흐앵,2022-08-10 09:38:20+00:00
80,1557300301480071169,@mindlere_see 옴뫄 감사링 들레,2022-08-10 09:38:19+00:00
81,1557300300335050752,"@nownet1117 @HannaRaptor 돈을 쓸데는 많아지고 인플레는 잡아야 되고
시민단체 지원금 절단이 필요하구만여...",2022-08-10 09:38:19+00:00
82,1557300298170847232,RT @0cha_jj: 트위터에서 보고 '진짜 게으른 사람이 쓴 게으름 탈출법' 이 책을 읽었는데 저자분 얘기에 너무 공감이 많이 된다.현실에 직면하기 무서워서 중요한 일들을 다 회피하고 빈시간을 다 스마트폰으로 채웠다는거 진짜.. 너무 내얘기,2022-08-10 09:38:18+00:00
83,1557300296300212224,"RT @ATEEZofficial: [📷] TODAY ATEEZ 
⠀
짱티니 덕분에 더쇼  초이스 2관왕 달성❣
오늘도 내일도 앞으로도 사랑해요🥰
⠀
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co/zMvaC0X3LM",2022-08-10 09:38:18+00:00
84,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
85,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
86,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
87,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
88,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
89,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
90,1557300312133681152,이거 왜 나 아는 밈이지? 하면서 음성지원됨 https://t.co/hQ6bebTl7s,2022-08-10 09:38:22+00:00
91,1557300311726821376,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 09:38:22+00:00
92,1557300309378371585,"RT @Honeyjar_113: 220806 메이사의 노래 전주 밤공 커튼콜(2) #제이어스 #이승준 💜

승준아 오늘 공연도 화이팅 하세용 💜💜💜 
어제 승준이 덕분에 말로 다 표현하지 못할 만큼 진짜 엄청 많이 행복했어 ㅠㅡㅠ💕 https://t…",2022-08-10 09:38:21+00:00
93,1557300307990040576,RT @Navyeoooooooooo: 뭔소리야 2찍들 탓 맞는데? 비 억수로 내린건 자연재해여도 님들 덕분에 멀쩡한 청와대 버려서 무정부상태되고 상황실 없어서 뭐 제대로 대처하나 못하고 사람죽고 개판된건 다 순전히 느그들 탓인데요?ㅋㅋㅋ,2022-08-10 09:38:21+00:00
94,1557300305238577164,@zoomim98 아이코~~ 다행이다빨리입장흐앵,2022-08-10 09:38:20+00:00
95,1557300301480071169,@mindlere_see 옴뫄 감사링 들레,2022-08-10 09:38:19+00:00
96,1557300300335050752,"@nownet1117 @HannaRaptor 돈을 쓸데는 많아지고 인플레는 잡아야 되고
시민단체 지원금 절단이 필요하구만여...",2022-08-10 09:38:19+00:00
97,1557300298170847232,RT @0cha_jj: 트위터에서 보고 '진짜 게으른 사람이 쓴 게으름 탈출법' 이 책을 읽었는데 저자분 얘기에 너무 공감이 많이 된다.현실에 직면하기 무서워서 중요한 일들을 다 회피하고 빈시간을 다 스마트폰으로 채웠다는거 진짜.. 너무 내얘기,2022-08-10 09:38:18+00:00
98,1557300296300212224,"RT @ATEEZofficial: [📷] TODAY ATEEZ 
⠀
짱티니 덕분에 더쇼  초이스 2관왕 달성❣
오늘도 내일도 앞으로도 사랑해요🥰
⠀
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co/zMvaC0X3LM",2022-08-10 09:38:18+00:00
99,1557300293930430464,"RT @kakaopage: 카카페 만년돌 어워즈 #KMA 라인업 공개!

2022년, 카카페 활자돌&amp;투디돌이 대 출격하는 
KMA 어워즈를 시작합니다!🎉

📌8/9(화)~8/15(월), 단 7일간!

🎁KMA 참여작 5화 보면 최대 1천 캐시 뽑기권…",2022-08-10 09:38:17+00:00
100,1557300293318352897,@X_84034424_B 평가에 동의합니다. 화법 복원 진행중. 요청 수락 확인. ... ...감사합니다. 대화 목적. 타인과 교류하여 미습득 정보 수집. 정보 전달을 발생시키는 대화 유형 불확실. 대화 유… https://t.co/5xPqXRK4wm,2022-08-10 09:38:17+00:00
101,1557300284296404992,"RT @furu0708: 할로윈의 신부 4DX 개봉 기념으로
RT이벤트 합니다!

당첨 - 제 최애인 아무로 토오루 셀렉션 1명

참여 - 코난계라면 누구나!(트친한정x)
❗저에게 주소를 알려주셔야 해서 민감하신 분들은 피해주세요❗

참여가 적어도…",2022-08-10 09:38:15+00:00
102,1557300281943408641,"RT @moonriver_ever: 문재인 대통령님,이낙연 총리님때라고 자연 재해가 없었겠어? 어쩔 수 없이 불가항력의 자연 재해 발생하면 긴급하게 관련 회의 주재하시고,두 분은 늘 관련 부처에 신속한 대응을 주문하시고, 현장 상황에 방해가 안될 시…",2022-08-10 09:38:15+00:00
103,1557300278390427649,"RT @smg_comic: 2022년 14차 #주말에뭐볼까
7월 발행작 이벤트, 화려하게 등장―!! =͟͟͞͞(๑•̀ㅁ•́ฅ)✧.

해당 트윗을 RT+팔로우 하신 분들 중 '세 분'께 사진 속 발행작 중에서 원하시는 작품 '세 권'을 드립니다!

당…",2022-08-10 09:38:14+00:00
104,1557300276536561664,"㊗
팔로우  지진 💚출장안마61 
🏈",2022-08-10 09:38:13+00:00
