,text,likey,retweet
0,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
1,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
2,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
3,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
4,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
5,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
6,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
7,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
8,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
9,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
10,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
11,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
12,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
13,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
14,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
15,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
16,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
17,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
18,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
19,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
20,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
21,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
22,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
23,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
24,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
25,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
26,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
27,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
28,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
29,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
30,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
31,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
32,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
33,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
34,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
35,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
36,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
37,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
38,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
39,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
40,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
41,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
42,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
43,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
44,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
45,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
46,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
47,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
48,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
49,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
50,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
51,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
52,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
53,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
54,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
55,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
56,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
57,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
58,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
59,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
60,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
61,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
62,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
63,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
64,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
65,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
66,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
67,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
68,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
69,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
70,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
71,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
72,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
73,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
74,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
75,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
76,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
77,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
78,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
79,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
80,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
81,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
82,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
83,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
84,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
85,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
86,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
87,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
88,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
89,1557463684275785728,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 20:27:33
90,1557463851557236737,RT @__Iam__DD__: 비가 그쳐서 다행이다 디디야 https://t.co/zsrwwJdvC3,2022-08-10 20:28:13
91,1557463833178157056,"RT @IST_THEBOYZ: [📸] 더보이즈 서울페스타 2022 무대 완료‼️  힙노타이즈부터 스릴라이드까지 따라 불러주는 더비들 덕분에 더보이즈도 으쓱으쓱🥰 
🫧더비존에서 아직 퇴장하지 못한 우리들,,🫧
8월 12일 금요일 8:30PM KBS 2…",2022-08-10 20:28:08
92,1557463831739215872,"RT @swim_choi: 드뎌 울아이들 옷이 도착했어요...
울오빠 인천콘에 입혀서 데려가려했으나 망할 코로나 때문에 콘도 못가고, 휴가에 놀러도 못가고, 출근도 못하고...
그래도 이쁘니까💙🦊💙
@WOOYU_closet 감사드립니다! 
#영탁 #…",2022-08-10 20:28:08
93,1557463826622078976,"RT @moohann1: 지하철 1-8호선 운영이 오늘 첫차부터 모두 정상화된 반면

민간에서 운영하는 9호선은 일부 구간만 운영되고 상당수의 역이 침수 복구를 못하고 있는 중

여러분은 지금,
민영화의 결론을 보고 계십니다. 

운영할 때에는 최대…",2022-08-10 20:28:07
94,1557463802056040448,"RT @heunghacnayo: 저희 의상 책임져주시는 은희누나 너무 감사드리고요
스껄~ https://t.co/B9V5ko3DNF",2022-08-10 20:28:01
95,1557463801716322304,"RT @woohj1013: 7주 1위  
마음 졸여가며 새벽까지  
해시 쓰신분들  감사드려요
Listening to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co…",2022-08-10 20:28:01
96,1557463799208112129,"🦄
극한 열운 목줄추천 백돌이탈출 
👨‍👨‍👧",2022-08-10 20:28:00
97,1557463777117110272,@itzylovedong 초대남 지원해보고싶은데 검사지랑 흡연자라서 아쉽네요 ㅠㅠ 이찌&amp;동이 님 좋으신분들 같은데,2022-08-10 20:27:55
98,1557463766089863169,"RT @bbongee72: 🧱🐰미필고 연애사 lp코스터 수요조사

🗓8/11 ~ 8/13
🔗https://t.co/FFBzwwxR0T
🤍반드시 구매하실 분만 참여 부탁드려요 https://t.co/IoFY8mgr2K",2022-08-10 20:27:52
99,1557463765938974720,"RT @khbiyong: 『 나의 주인 』 36화가 업데이트되었습니다. 
https://t.co/9sQeUllJv5

🫢
정식 사이트에서 봐주시는 모든 분들 감사드립니다💖 https://t.co/mcKy4cDYDY",2022-08-10 20:27:52
100,1557463762621591552,"RT @gracebts13: 지민스런 지민시

이번 수혜로 전국민이 충격받은 가운데
정신적 육체적으로 힘드신 분들께
조금이나마 보탬이 되고자 적은 금액이지만
지민이 이름으로 동참했어요
더 피해없고 빨리 복구가 되길 바랍니다🙏

#WithYou #JI…",2022-08-10 20:27:51
101,1557463747530174464,"RT @beetie135: 그거대로 반응 좋고
예절교육이랑 사회성 교육 덕분에도 반응 좋고
(피자 파티도 하고)

등의 이유가 겹치다보니까 도장이 무술 이전의 생활친화적인 공간이 되어버렸음.

결국 한국적인 맛을 그대로 보존한 덕에 태권도는 의외로…",2022-08-10 20:27:48
102,1557463735496626177,"RT @SBSNOW: &lt;김호중의 한가위 판타지아&gt;에서
김호중과 좋은 추억을 만들 분들을 모집합니다!

✅듀엣 지원자 모집 기간
2022년 7월 28일 [목] ~ 8월 7일 [일]
듀엣 지원하기
☞https://t.co/RQZgbVuo05

✅신청곡…",2022-08-10 20:27:45
103,1557463693092278272,"RT @FF14_Changhun: 제가 자주 들어오지 못해도.... 저를.... 탐라의 마리모로 둬주시길 바라며... 지금까지 함께해주신분들께 감사의 의미로 트친한정 알티이벤 합니다. 한분 뽑아서 환상약 드릴게요! 
트친한정⭕️⭕️⭕️, 알티⭕️⭕️…",2022-08-10 20:27:35
