,text,likey,retweet
0,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
1,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
2,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
3,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
4,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
5,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
6,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
7,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
8,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
9,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
10,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
11,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
12,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
13,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
14,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
15,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
16,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
17,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
18,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
19,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
20,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
21,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
22,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
23,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
24,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
25,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
26,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
27,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
28,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
29,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
30,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
31,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
32,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
33,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
34,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
35,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
36,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
37,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
38,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
39,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
40,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
41,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
42,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
43,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
44,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
45,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
46,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
47,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
48,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
49,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
50,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
51,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
52,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
53,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
54,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
55,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
56,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
57,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
58,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
59,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
60,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
61,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
62,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
63,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
64,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
65,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
66,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
67,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
68,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
69,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
70,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
71,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
72,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
73,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
74,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
75,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
76,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
77,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
78,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
79,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
80,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
81,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
82,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
83,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
84,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
85,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
86,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
87,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
88,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
89,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
90,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
91,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
92,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
93,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
94,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
95,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
96,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
97,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
98,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
99,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
100,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
101,1557384658400161797,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:32+00:00
102,1557384655237615616,"RT @zzuuqqxx: 220810 서울페스타 #런쥔 #RENJUN 

폭우속 버퍼링 댄브 ….🌧🌧
저 하늘에서 떨어지는거 비 아냐 
런프들 눈물이야 https://t.co/Vo6UoBC7ui",2022-08-10 15:13:31+00:00
103,1557384645485875201,"RT @hanitweet: ①공기 빠지는 소리 
②뚜껑 요동칠 때 즉시 대피
③맨홀서 하수 분수처럼 나올 때 구경하지 말 것

도심 폭우 속 맨홀은 흉기가 됩니다. 맨홀 뚜껑이 솟구칠 징조, 기억하세요. 

https://t.co/lm2xgLkKpn",2022-08-10 15:13:28+00:00
104,1557384637428551681,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:27+00:00
105,1557384698812190720,"RT @yong_hyein: ≪현장에 가서 사진은 찍고, 빈소엔 조화 하나 보내지 않은 윤석열 대통령의 진심은 무엇입니까?≫

관악구에서 폭우로 희생된 세 희생자분들을 모신 빈소에 다녀왔습니다. 세 사람의 영정이 함께 놓인 빈소에서 참담한 마음으로…",2022-08-10 15:13:41+00:00
106,1557384691723866119,RT @JTBC_news: 폭우에 맨홀 뚜껑 열려…휩쓸려간 남매 실종 https://t.co/phlnXelObu,2022-08-10 15:13:39+00:00
107,1557384686892371968,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:38+00:00
108,1557384681082851328,정체전선 남하 폭우로 불어난 청주 무심천 ′범람 우려′ https://t.co/fl2VaG404C,2022-08-10 15:13:37+00:00
109,1557384680067850240,"RT @minsumi77: 대전 침수
2020-07-30

대전 새벽 3시부터 천둥과 번개를 동반한 강한 비
중구 문화동 시간당 112.5mm 폭우 https://t.co/FfijH3whTs",2022-08-10 15:13:37+00:00
110,1557384679468109824,"입열구 2.

;궁지몰린 윤석열 '115년만의 폭우' 드립...39일 전엔 더 왔는데? [빨간아재] https://t.co/Yfy6b2T4wu - @YouTube",2022-08-10 15:13:37+00:00
111,1557384678549573632,"RT @kyunghyang: https://t.co/nuVk69XVht
“현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”",2022-08-10 15:13:36+00:00
112,1557384672677531648,@Duck8_S 저는 시계랑 폭우로 정하구 적고 있는데 왜 자꾸 딴 길로 가는거 같은... 그런 기분이 들어여...,2022-08-10 15:13:35+00:00
113,1557384667602362368,RT @gaeuggyeo: 폭우 속 대혼돈 https://t.co/k6vWMV8y8V,2022-08-10 15:13:34+00:00
114,1557384665228402689,"RT @t_ransborder: “현장 노동자 모두 열차 재운행만 생각했을 거예요. 당연히 해야 하는 일이라고도 생각했죠. 그래도 사람이니까, 이 쏟아지는 폭우를 뚫고 출근하는데 무섭더라고요.”
https://t.co/PVZ6cJzOoh",2022-08-10 15:13:33+00:00
115,1557384662208888832,"RT @News1Kr: [단독] 갓세븐 박진영, 폭우 피해 복구 위해 3000만원 기부…선한 영향력 #뉴스1

https://t.co/awDcwoxReZ

사진 출처= BH엔터테인먼트 © 뉴스1

#Jinyoung #진영 #박진영 
#GOT7 @JI…",2022-08-10 15:13:32+00:00
